,Rk,Unnamed: 1,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,team_name
9,10,Nic Claxton,22,20,443,18.3,0.661,0.0,0.32,9.6,16.5,13.2,6.2,1.2,4.5,9.7,15.0,1.1,0.5,1.6,0.176,0.1,0.0,0.2,0.2,BRK
10,11,Joe Harris,30,14,423,9.9,0.624,0.71,0.048,1.3,12.4,7.1,4.5,0.8,0.4,11.2,14.6,0.3,0.3,0.6,0.067,-0.8,-0.7,-1.5,0.0,BRK
11,12,Jevon Carter,26,35,395,5.3,0.41,0.717,0.035,2.0,10.9,6.7,10.0,1.6,1.8,12.2,14.3,-0.5,0.3,-0.1,-0.014,-4.7,-0.4,-5.2,-0.3,BRK
12,13,Kessler Edwards,21,15,387,10.7,0.567,0.495,0.009,5.2,12.0,8.7,4.2,1.7,2.3,12.1,13.9,0.2,0.4,0.6,0.069,-1.2,-0.6,-1.8,0.0,BRK
13,14,Paul Millsap,36,24,270,11.4,0.443,0.318,0.2,12.1,22.9,17.7,11.9,0.9,3.6,10.6,16.5,0.1,0.3,0.4,0.078,-3.4,0.3,-3.1,-0.1,BRK
14,15,Day'Ron Sharpe,20,21,258,20.8,0.61,0.029,0.223,22.2,20.7,21.4,4.3,1.1,4.1,16.3,22.6,0.5,0.3,0.8,0.156,-1.1,-2.7,-3.8,-0.1,BRK
15,16,David Duke Jr.,22,14,244,11.3,0.462,0.321,0.218,12.4,12.7,12.5,7.1,1.4,2.2,8.6,16.5,0.1,0.2,0.4,0.072,-2.3,-1.6,-3.9,-0.1,BRK
16,17,Kyrie Irving,29,7,242,20.4,0.583,0.304,0.096,1.4,13.2,7.5,25.4,1.4,0.7,9.6,27.8,0.5,0.2,0.7,0.13,3.1,-1.9,1.2,0.2,BRK
17,18,Langston Galloway,30,4,58,2.0,0.462,0.615,0.0,1.9,12.4,7.4,11.0,0.0,0.0,27.8,13.4,-0.1,0.0,-0.1,-0.066,-7.4,-2.9,-10.3,-0.1,BRK
18,19,Shaquille Harrison,28,2,23,4.7,0.333,0.333,0.0,4.9,13.4,9.3,16.7,2.1,3.8,25.0,15.0,-0.1,0.0,0.0,-0.061,-8.7,0.7,-8.1,0.0,BRK
19,20,James Ennis III,31,2,14,15.0,0.357,0.286,0.0,16.1,22.1,19.2,0.0,3.5,6.3,0.0,21.6,0.0,0.0,0.0,0.043,-0.3,-0.6,-0.8,0.0,BRK
20,21,Wenyen Gabriel,24,1,1,11.7,,,,0.0,100.0,53.7,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.173,-1.7,0.0,-1.7,0.0,BRK
0,1,Giannis Antetokounmpo,27,39,1276,30.9,0.611,0.204,0.576,5.9,29.5,18.0,34.4,1.5,4.5,13.0,35.2,4.8,2.4,7.2,0.271,6.8,3.7,10.4,4.0,MIL
1,2,Pat Connaughton,29,46,1270,14.2,0.633,0.73,0.101,2.7,14.2,8.6,7.2,1.7,1.0,7.3,13.9,2.3,1.4,3.8,0.142,1.0,0.6,1.6,1.1,MIL
2,3,Khris Middleton,30,37,1182,19.0,0.581,0.41,0.314,2.1,16.1,9.3,26.5,1.7,1.0,15.5,27.4,1.9,1.4,3.4,0.137,2.2,0.0,2.2,1.3,MIL
3,4,Jrue Holiday,31,36,1174,19.9,0.574,0.313,0.168,3.1,11.5,7.4,31.9,2.3,1.7,14.4,24.3,2.2,1.5,3.7,0.15,2.7,0.5,3.1,1.5,MIL
4,5,Grayson Allen,26,41,1152,12.9,0.58,0.694,0.124,1.8,10.5,6.2,6.9,1.4,1.3,5.9,16.5,1.6,1.1,2.7,0.113,0.4,-0.1,0.3,0.7,MIL
5,6,Bobby Portis,26,40,1148,18.4,0.571,0.369,0.159,10.8,23.3,17.2,7.0,1.2,3.0,10.7,21.9,1.8,1.7,3.5,0.146,1.0,-0.9,0.2,0.6,MIL
6,7,George Hill,35,39,1006,11.0,0.568,0.498,0.211,3.6,9.4,6.6,13.0,1.4,0.5,12.4,12.1,1.3,0.9,2.2,0.104,-1.8,0.3,-1.5,0.1,MIL
7,8,Jordan Nwora,23,37,751,11.3,0.517,0.51,0.064,3.5,17.0,10.4,7.5,1.2,1.7,11.0,19.6,-0.1,0.9,0.8,0.05,-1.9,-0.8,-2.7,-0.1,MIL
8,9,Rodney Hood,29,35,549,7.4,0.492,0.628,0.116,2.3,9.8,6.2,7.0,1.0,0.5,5.2,10.5,0.3,0.4,0.7,0.061,-2.9,-0.1,-3.0,-0.1,MIL
9,10,Wesley Matthews,35,21,432,9.7,0.597,0.71,0.075,3.2,7.5,5.4,5.1,1.2,1.1,7.5,11.8,0.5,0.3,0.8,0.094,-1.5,-0.1,-1.6,0.0,MIL
10,11,Thanasis Antetokounmpo,29,28,332,10.1,0.497,0.134,0.293,9.6,14.4,12.1,7.9,1.9,2.1,15.5,14.1,0.1,0.4,0.5,0.078,-4.8,0.8,-4.0,-0.2,MIL
11,12,Semi Ojeleye,27,17,291,4.2,0.334,0.582,0.164,9.2,11.2,10.2,2.2,0.8,1.7,6.5,11.3,-0.2,0.3,0.0,0.002,-5.5,-1.9,-7.3,-0.4,MIL
12,13,DeMarcus Cousins,31,17,287,19.7,0.572,0.407,0.322,8.9,26.3,17.8,9.7,2.7,2.7,10.6,22.5,0.5,0.6,1.1,0.183,-0.1,0.9,0.8,0.2,MIL
13,14,Sandro Mamukelashvili,22,24,273,12.4,0.536,0.467,0.16,10.1,9.7,9.9,6.6,1.2,2.2,10.1,14.0,0.3,0.3,0.6,0.106,-0.5,-0.5,-1.0,0.1,MIL
14,15,Justin Robinson,24,17,198,4.5,0.415,0.649,0.035,1.1,5.7,3.4,14.2,2.0,0.0,16.0,14.9,-0.2,0.2,-0.1,-0.019,-6.2,-0.4,-6.6,-0.2,MIL
15,16,Donte DiVincenzo,25,10,189,9.0,0.446,0.672,0.313,7.3,15.6,11.6,10.7,1.5,1.6,14.6,20.2,-0.1,0.2,0.1,0.024,-3.3,-1.2,-4.5,-0.1,MIL
16,17,Javonte Smart,22,13,160,2.6,0.34,0.419,0.14,2.7,9.6,6.2,11.4,1.2,1.2,16.5,14.6,-0.3,0.1,-0.2,-0.061,-7.2,-0.8,-8.0,-0.2,MIL
17,18,Langston Galloway,30,3,49,-0.6,0.077,0.615,0.0,4.3,16.6,10.6,17.4,1.0,0.0,7.1,12.2,-0.2,0.0,-0.1,-0.124,-8.4,-0.4,-8.8,-0.1,MIL
18,19,Georgios Kalaitzakis,23,9,48,6.1,0.535,0.364,0.818,8.9,8.5,8.7,0.0,1.0,2.0,21.1,16.9,0.0,0.0,0.0,0.001,-5.8,-2.1,-7.9,-0.1,MIL
19,20,Brook Lopez,33,1,28,11.8,0.444,0.444,0.0,7.6,10.9,9.3,0.0,1.7,10.5,0.0,13.8,0.0,0.0,0.1,0.094,-3.2,0.7,-2.5,0.0,MIL
20,21,Lindell Wigginton,23,1,5,28.2,1.0,0.0,0.0,0.0,20.4,10.4,0.0,9.7,0.0,0.0,8.6,0.0,0.0,0.0,0.322,0.8,14.0,14.8,0.0,MIL
21,22,Luke Kornet,26,1,3,-5.1,0.0,0.0,0.0,35.5,0.0,17.4,0.0,0.0,0.0,0.0,14.3,0.0,0.0,0.0,-0.153,-14.1,-10.4,-24.4,0.0,MIL
22,23,Jeff Dowtin,24,1,3,-13.1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.3,0.0,0.0,0.0,-0.342,-15.5,-6.8,-22.3,0.0,MIL
23,24,Javin DeLaurier,23,1,3,15.7,,,,0.0,34.0,17.4,0.0,16.1,0.0,,0.0,0.0,0.0,0.0,0.275,-4.7,11.8,7.1,0.0,MIL
0,1,Darius Garland,22,42,1464,17.8,0.572,0.423,0.154,1.8,8.3,5.1,38.3,1.8,0.2,17.9,26.3,2.0,1.8,3.8,0.124,2.7,-0.5,2.3,1.6,CLE
1,2,Evan Mobley,20,40,1376,16.0,0.553,0.116,0.273,6.0,19.3,12.9,11.9,1.1,4.3,12.6,19.8,1.1,2.4,3.5,0.123,-0.5,1.8,1.3,1.1,CLE
2,3,Jarrett Allen,23,40,1309,23.4,0.709,0.021,0.446,11.7,24.2,18.2,9.2,1.3,3.8,14.2,17.9,4.1,2.5,6.6,0.243,2.8,1.6,4.4,2.1,CLE
3,4,Lauri Markkanen,24,38,1148,14.2,0.557,0.522,0.169,4.0,14.7,9.5,7.3,1.3,1.6,6.3,18.9,1.4,1.6,3.1,0.129,0.3,0.3,0.6,0.8,CLE
4,5,Ricky Rubio,31,34,970,14.4,0.488,0.423,0.251,1.7,13.6,7.9,34.4,2.5,0.6,16.5,24.7,0.1,1.6,1.7,0.086,-0.8,1.2,0.4,0.6,CLE
5,6,Isaac Okoro,21,33,937,10.1,0.55,0.383,0.329,4.4,8.3,6.4,8.7,1.4,0.9,12.1,14.6,0.7,1.1,1.8,0.092,-2.9,0.8,-2.1,0.0,CLE
6,7,Kevin Love,33,40,857,22.4,0.614,0.621,0.333,5.5,30.0,18.2,16.0,0.7,0.8,9.9,25.8,2.5,1.5,3.9,0.221,6.3,0.7,7.0,2.0,CLE
7,8,Cedi Osman,26,36,802,13.5,0.554,0.637,0.203,2.1,9.5,5.9,11.3,2.1,0.9,8.1,20.2,0.8,1.1,1.9,0.113,-0.2,1.3,1.1,0.6,CLE
8,9,Dean Wade,25,33,625,9.7,0.549,0.642,0.146,4.3,13.7,9.2,7.6,1.4,0.4,7.6,11.1,0.6,0.8,1.4,0.111,-2.0,1.2,-0.8,0.2,CLE
9,10,Lamar Stevens,24,32,485,10.5,0.534,0.268,0.168,5.6,11.0,8.4,6.4,1.2,1.3,10.1,16.1,0.2,0.6,0.8,0.083,-2.7,0.5,-2.2,0.0,CLE
10,11,Dylan Windler,25,32,335,10.0,0.603,0.716,0.122,4.0,15.0,9.7,10.2,1.2,0.5,14.3,11.9,0.4,0.4,0.8,0.116,-1.7,1.4,-0.4,0.1,CLE
11,12,Collin Sexton,23,11,316,11.5,0.523,0.298,0.258,4.6,7.6,6.2,11.9,1.6,0.0,15.6,27.6,-0.3,0.4,0.1,0.012,-3.2,-0.6,-3.8,-0.1,CLE
12,13,Denzel Valentine,28,22,204,8.6,0.516,0.71,0.0,4.9,14.9,10.1,7.5,1.7,0.0,13.9,15.5,0.0,0.3,0.3,0.06,-2.6,0.3,-2.3,0.0,CLE
13,14,Kevin Pangos,29,20,161,7.3,0.417,0.578,0.089,1.4,5.8,3.7,25.4,0.9,0.0,13.0,14.6,0.0,0.1,0.1,0.039,-4.0,-1.4,-5.5,-0.1,CLE
14,15,Brandon Goodwin,26,9,136,12.8,0.406,0.294,0.196,4.9,11.5,8.4,31.0,3.3,0.0,9.8,19.8,0.0,0.2,0.2,0.078,-3.0,1.6,-1.4,0.0,CLE
15,16,Ed Davis,32,14,131,9.8,0.599,0.0,0.571,6.0,28.8,17.8,3.0,1.1,4.7,14.6,6.9,0.1,0.3,0.4,0.137,-4.5,3.3,-1.3,0.0,CLE
16,17,Rajon Rondo,35,4,83,16.7,0.636,0.607,0.214,1.4,18.9,10.4,30.5,2.4,0.0,22.7,20.9,0.1,0.1,0.3,0.157,1.0,2.6,3.6,0.1,CLE
17,18,Tacko Fall,26,11,59,11.4,0.398,0.0,0.583,13.3,28.4,21.1,4.6,0.0,9.0,16.6,13.4,-0.1,0.1,0.1,0.059,-4.0,0.7,-3.4,0.0,CLE
18,19,Justin Anderson,28,3,47,10.9,0.666,0.75,0.5,0.0,13.4,6.9,17.2,1.1,0.0,17.0,11.0,0.1,0.1,0.1,0.14,-2.9,0.4,-2.6,0.0,CLE
19,20,RJ Nembhard Jr.,22,6,42,10.5,0.463,0.091,0.182,0.0,5.0,2.6,33.6,0.0,0.0,7.8,13.4,0.1,0.0,0.1,0.096,-2.9,-1.4,-4.3,0.0,CLE
20,21,Luke Kornet,26,2,15,8.9,0.316,0.2,0.6,15.0,7.0,10.8,8.8,0.0,5.9,0.0,18.5,0.0,0.0,0.0,0.025,-6.6,-3.2,-9.8,0.0,CLE
21,22,Tre Scott,25,2,11,20.7,0.5,0.167,0.0,10.2,9.5,9.8,0.0,4.5,8.1,0.0,23.9,0.0,0.0,0.0,0.157,-4.7,1.8,-2.9,0.0,CLE
22,23,Malik Newman,24,1,8,29.3,0.68,0.2,0.4,0.0,13.1,6.8,27.6,0.0,0.0,14.5,37.7,0.0,0.0,0.0,0.206,6.8,0.0,6.9,0.0,CLE
0,1,Seth Curry,31,40,1392,15.1,0.63,0.464,0.155,1.2,9.5,5.4,17.7,1.1,0.6,13.1,18.7,2.4,0.9,3.3,0.113,0.8,-1.0,-0.3,0.6,PHI
1,2,Tyrese Maxey,21,39,1377,15.9,0.564,0.258,0.237,1.2,9.4,5.4,19.8,0.9,1.3,7.4,20.4,2.5,0.9,3.4,0.119,0.9,-0.7,0.2,0.8,PHI
2,3,Tobias Harris,29,37,1294,17.4,0.546,0.241,0.254,3.6,19.6,11.7,17.6,0.9,1.5,8.9,23.6,1.7,1.3,3.0,0.113,0.9,-0.7,0.3,0.8,PHI
3,4,Joel Embiid,27,35,1149,31.2,0.612,0.18,0.567,6.8,28.9,18.0,24.4,1.5,3.8,11.1,36.1,4.3,1.9,6.2,0.257,7.2,1.9,9.1,3.2,PHI
4,5,Furkan Korkmaz,24,42,1013,11.4,0.506,0.563,0.149,1.4,12.7,7.1,14.6,1.3,0.4,8.5,18.4,0.3,0.8,1.1,0.052,-1.5,-1.1,-2.5,-0.1,PHI
5,6,Georges Niang,28,42,969,11.5,0.574,0.634,0.124,1.8,11.1,6.5,8.8,1.1,0.8,7.7,17.6,1.0,0.7,1.7,0.084,-0.9,-1.0,-2.0,0.0,PHI
6,7,Matisse Thybulle,24,32,825,11.0,0.569,0.513,0.083,2.2,8.2,5.2,5.7,3.6,4.0,12.5,10.1,0.3,1.3,1.5,0.09,-2.6,3.4,0.9,0.6,PHI
